Palavra;Peso;Classe favorecida
nesta;-3.073655985595687;Verdadeira
feira;-2.9799627038009744;Verdadeira
de;-2.551612977411071;Verdadeira
mas;-2.474297561267093;Verdadeira
segundo;-2.4192178012570453;Verdadeira
em;-2.379413570521453;Verdadeira
no;-2.3726080003816477;Verdadeira
na;-2.037425605087273;Verdadeira
afirmou;-1.9130299319203872;Verdadeira
sobre;-1.817206500026128;Verdadeira
da;-1.7921122280464434;Verdadeira
com;-1.7824548591608718;Verdadeira
do;-1.66837622095043;Verdadeira
ao;-1.642053487010814;Verdadeira
por;-1.5387574690284087;Verdadeira
quinta;-1.5188538793950128;Verdadeira
que;-1.4736105880632822;Verdadeira
terça;-1.4174982218871786;Verdadeira
ano;-1.3406687832338493;Verdadeira
quarta;-1.3237736047170297;Verdadeira
g1;-1.3160734324296823;Verdadeira
para;-1.2502458301815198;Verdadeira
falou;-1.2233310671908524;Verdadeira
diz;-1.2219975239342622;Verdadeira
sábado;-1.1949634672477072;Verdadeira
depois;-1.147994027200892;Verdadeira
tribunal;-1.1176720345948412;Verdadeira
dos;-1.0905318849617902;Verdadeira
passado;-1.0630661761405418;Verdadeira
isso;-1.0545596661382624;Verdadeira
região;-1.035326357713309;Verdadeira
psl;-1.0294164535653407;Verdadeira
não;-1.01669737876874;Verdadeira
coreia;-1.011496597287147;Verdadeira
como;-0.9921040569246684;Verdadeira
às;-0.9721959470363738;Verdadeira
desta;-0.9430759522719695;Verdadeira
primeira;-0.9271761376041615;Verdadeira
entre;-0.9201186077616903;Verdadeira
leitores;-0.90554188654333;Verdadeira
nota;-0.8968652809880429;Verdadeira
quando;-0.891187424378811;Verdadeira
malafaia;-0.8896701730485767;Verdadeira
ainda;-0.8894379576499462;Verdadeira
contra;-0.8791131586844037;Verdadeira
pcdob;-0.8557126609376732;Verdadeira
decisão;-0.851377299379367;Verdadeira
dele;-0.8499077455421967;Verdadeira
furacão;-0.8455142640733724;Verdadeira
pré;-0.8195493896230766;Verdadeira
